,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,maze,brc505d.map,1,"row=45,col=166","row=107,col=53",1,175,8435,8181,1.0,1.0
1,maze,brc505d.map,1,"row=45,col=166","row=107,col=53",2,175,395,179,1.0,0.021879965774355213
2,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",1,309,23420,23182,1.0,1.0
3,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",2,309,21829,16636,1.0,0.7176257441118109
4,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",3,315,26841,18774,1.0194174757281553,0.8098524717453196
5,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",4,321,27183,19517,1.0388349514563107,0.8419032007592098
6,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",5,319,27710,20076,1.0323624595469256,0.8660167371236304
7,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",6,319,27858,20686,1.0323624595469256,0.8923302562332844
8,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",7,319,27602,21025,1.0323624595469256,0.9069536709516004
9,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",8,329,27931,21461,1.064724919093851,0.9257613665775171
10,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",9,329,27581,21592,1.064724919093851,0.9314123026486066
11,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",10,329,27663,21772,1.064724919093851,0.9391769476317833
12,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",11,329,27905,21921,1.064724919093851,0.9456043482011905
13,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",12,341,27454,22179,1.103559870550162,0.9567336726770771
14,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",13,339,27573,22365,1.0970873786407767,0.9647571391596929
15,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",14,339,27442,22513,1.0970873786407767,0.9711414028125269
16,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",15,335,27429,22572,1.0841423948220066,0.9736864808903459
17,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",16,335,27181,22596,1.0841423948220066,0.9747217668881029
18,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",17,329,27290,22592,1.064724919093851,0.97454921922181
19,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",18,329,27049,22592,1.064724919093851,0.97454921922181
20,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",19,345,27269,22762,1.116504854368932,0.9818824950392546
21,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",20,341,27284,22858,1.103559870550162,0.9860236390302821
22,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",21,341,27165,22835,1.103559870550162,0.9850314899490984
23,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",22,329,27204,22766,1.064724919093851,0.9820550427055474
24,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",23,335,27062,22852,1.0841423948220066,0.9857648175308429
25,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",24,329,26939,22857,1.064724919093851,0.9859805021137089
26,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",25,329,26848,22873,1.064724919093851,0.9866706927788802
27,maze,brc505d.map,2,"row=72,col=2","row=84,col=189",26,357,26920,22981,1.1553398058252426,0.9913294797687862
