,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,maze,den011d.map,1,"row=105,col=173","row=86,col=57",1,135,1433,1297,1.0,1.0
1,maze,den011d.map,1,"row=105,col=173","row=86,col=57",2,135,530,229,1.0,0.17656129529683887
2,maze,den011d.map,1,"row=105,col=173","row=86,col=57",3,135,416,160,1.0,0.12336160370084812
3,maze,den011d.map,1,"row=105,col=173","row=86,col=57",4,135,422,163,1.0,0.12567463377023902
4,maze,den011d.map,1,"row=105,col=173","row=86,col=57",5,139,404,153,1.0296296296296297,0.117964533538936
5,maze,den011d.map,1,"row=105,col=173","row=86,col=57",6,139,400,150,1.0296296296296297,0.1156515034695451
6,maze,den011d.map,1,"row=105,col=173","row=86,col=57",7,139,400,150,1.0296296296296297,0.1156515034695451
7,maze,den011d.map,1,"row=105,col=173","row=86,col=57",8,139,399,149,1.0296296296296297,0.11488049344641481
8,maze,den011d.map,1,"row=105,col=173","row=86,col=57",9,139,399,150,1.0296296296296297,0.1156515034695451
9,maze,den011d.map,1,"row=105,col=173","row=86,col=57",10,139,399,150,1.0296296296296297,0.1156515034695451
10,maze,den011d.map,1,"row=105,col=173","row=86,col=57",11,139,399,150,1.0296296296296297,0.1156515034695451
11,maze,den011d.map,1,"row=105,col=173","row=86,col=57",12,139,399,150,1.0296296296296297,0.1156515034695451
12,maze,den011d.map,1,"row=105,col=173","row=86,col=57",13,139,399,150,1.0296296296296297,0.1156515034695451
13,maze,den011d.map,1,"row=105,col=173","row=86,col=57",14,139,399,149,1.0296296296296297,0.11488049344641481
14,maze,den011d.map,1,"row=105,col=173","row=86,col=57",15,139,399,149,1.0296296296296297,0.11488049344641481
15,maze,den011d.map,1,"row=105,col=173","row=86,col=57",16,139,399,149,1.0296296296296297,0.11488049344641481
16,maze,den011d.map,1,"row=105,col=173","row=86,col=57",17,139,398,148,1.0296296296296297,0.1141094834232845
17,maze,den011d.map,1,"row=105,col=173","row=86,col=57",18,139,398,148,1.0296296296296297,0.1141094834232845
18,maze,den011d.map,1,"row=105,col=173","row=86,col=57",19,139,398,148,1.0296296296296297,0.1141094834232845
19,maze,den011d.map,1,"row=105,col=173","row=86,col=57",20,139,397,147,1.0296296296296297,0.1133384734001542
20,maze,den011d.map,1,"row=105,col=173","row=86,col=57",21,139,397,147,1.0296296296296297,0.1133384734001542
21,maze,den011d.map,1,"row=105,col=173","row=86,col=57",22,141,393,144,1.0444444444444445,0.1110254433307633
22,maze,den011d.map,2,"row=104,col=170","row=105,col=7",1,194,2774,2604,1.0,1.0
23,maze,den011d.map,2,"row=104,col=170","row=105,col=7",2,194,798,457,1.0,0.17549923195084485
24,maze,den011d.map,2,"row=104,col=170","row=105,col=7",3,194,732,324,1.0,0.12442396313364056
25,maze,den011d.map,2,"row=104,col=170","row=105,col=7",4,196,689,297,1.0103092783505154,0.11405529953917051
26,maze,den011d.map,2,"row=104,col=170","row=105,col=7",5,200,680,293,1.0309278350515463,0.11251920122887865
27,maze,den011d.map,2,"row=104,col=170","row=105,col=7",6,200,656,282,1.0309278350515463,0.10829493087557604
28,maze,den011d.map,2,"row=104,col=170","row=105,col=7",7,200,640,270,1.0309278350515463,0.10368663594470046
29,maze,den011d.map,2,"row=104,col=170","row=105,col=7",8,200,628,266,1.0309278350515463,0.10215053763440861
30,maze,den011d.map,2,"row=104,col=170","row=105,col=7",9,200,628,263,1.0309278350515463,0.1009984639016897
31,maze,den011d.map,2,"row=104,col=170","row=105,col=7",10,200,626,265,1.0309278350515463,0.10176651305683564
32,maze,den011d.map,2,"row=104,col=170","row=105,col=7",11,200,625,263,1.0309278350515463,0.1009984639016897
33,maze,den011d.map,2,"row=104,col=170","row=105,col=7",12,200,625,263,1.0309278350515463,0.1009984639016897
34,maze,den011d.map,2,"row=104,col=170","row=105,col=7",13,200,624,262,1.0309278350515463,0.10061443932411675
35,maze,den011d.map,2,"row=104,col=170","row=105,col=7",14,202,621,261,1.041237113402062,0.10023041474654378
36,maze,den011d.map,2,"row=104,col=170","row=105,col=7",15,202,619,259,1.041237113402062,0.09946236559139784
37,maze,den011d.map,2,"row=104,col=170","row=105,col=7",16,202,619,259,1.041237113402062,0.09946236559139784
38,maze,den011d.map,2,"row=104,col=170","row=105,col=7",17,202,619,259,1.041237113402062,0.09946236559139784
39,maze,den011d.map,2,"row=104,col=170","row=105,col=7",18,202,619,259,1.041237113402062,0.09946236559139784
40,maze,den011d.map,2,"row=104,col=170","row=105,col=7",19,202,618,258,1.041237113402062,0.09907834101382489
41,maze,den011d.map,2,"row=104,col=170","row=105,col=7",20,202,618,258,1.041237113402062,0.09907834101382489
42,maze,den011d.map,2,"row=104,col=170","row=105,col=7",21,202,618,258,1.041237113402062,0.09907834101382489
43,maze,den011d.map,2,"row=104,col=170","row=105,col=7",22,202,618,258,1.041237113402062,0.09907834101382489
44,maze,den011d.map,2,"row=104,col=170","row=105,col=7",23,204,615,255,1.0515463917525774,0.097926267281106
45,maze,den011d.map,2,"row=104,col=170","row=105,col=7",24,204,615,255,1.0515463917525774,0.097926267281106
46,maze,den011d.map,2,"row=104,col=170","row=105,col=7",25,204,615,255,1.0515463917525774,0.097926267281106
47,maze,den011d.map,2,"row=104,col=170","row=105,col=7",26,204,615,255,1.0515463917525774,0.097926267281106
48,maze,den011d.map,2,"row=104,col=170","row=105,col=7",27,204,614,254,1.0515463917525774,0.09754224270353302
49,maze,den011d.map,2,"row=104,col=170","row=105,col=7",28,204,614,254,1.0515463917525774,0.09754224270353302
50,maze,den011d.map,2,"row=104,col=170","row=105,col=7",29,204,614,254,1.0515463917525774,0.09754224270353302
51,maze,den011d.map,2,"row=104,col=170","row=105,col=7",30,204,614,254,1.0515463917525774,0.09754224270353302
52,maze,den011d.map,2,"row=104,col=170","row=105,col=7",31,204,614,254,1.0515463917525774,0.09754224270353302
53,maze,den011d.map,2,"row=104,col=170","row=105,col=7",32,204,614,254,1.0515463917525774,0.09754224270353302
54,maze,den011d.map,2,"row=104,col=170","row=105,col=7",33,204,614,254,1.0515463917525774,0.09754224270353302
55,maze,den011d.map,2,"row=104,col=170","row=105,col=7",34,204,614,254,1.0515463917525774,0.09754224270353302
