,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",1,12,139957,82746,1.0,1.0
1,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",2,12,112862,50337,1.0,0.6083315205568849
2,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",3,12,80353,27695,1.0,0.334698958257801
3,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",4,12,78005,25686,1.0,0.3104198390254514
4,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",5,12,62562,18002,1.0,0.21755734416165132
5,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",6,14,109284,28051,1.1666666666666667,0.3390012810286902
6,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",7,14,105299,26827,1.1666666666666667,0.3242090252096778
7,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",8,12,75063,17777,1.0,0.21483817948903874
8,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",9,14,48034,10627,1.1666666666666667,0.1284291687815725
9,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",10,14,47823,10563,1.1666666666666667,0.1276557174969183
10,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",11,14,40459,8764,1.1666666666666667,0.10591448529234042
11,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",12,14,28168,5760,1.1666666666666667,0.06961061561888188
12,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",13,14,28168,5760,1.1666666666666667,0.06961061561888188
13,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",14,14,27382,5564,1.1666666666666667,0.06724192105962826
14,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",15,14,21646,4208,1.1666666666666667,0.050854421966016486
15,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",16,14,21646,4208,1.1666666666666667,0.050854421966016486
16,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",17,14,26932,5317,1.1666666666666667,0.0642568825079158
17,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",18,16,15664,2893,1.3333333333333333,0.034962415101636335
18,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",19,16,15664,2893,1.3333333333333333,0.034962415101636335
19,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",20,16,13003,2272,1.3333333333333333,0.02745752060522563
20,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",21,16,9188,1551,1.3333333333333333,0.018744108476542672
21,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",22,16,9188,1551,1.3333333333333333,0.018744108476542672
22,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",23,16,9188,1551,1.3333333333333333,0.018744108476542672
23,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",24,16,9310,1570,1.3333333333333333,0.018973726826674402
24,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",25,16,9310,1570,1.3333333333333333,0.018973726826674402
25,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",26,16,9310,1570,1.3333333333333333,0.018973726826674402
26,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",27,16,8492,1416,1.3333333333333333,0.017112609672975128
27,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",28,16,8492,1416,1.3333333333333333,0.017112609672975128
28,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",29,16,8492,1416,1.3333333333333333,0.017112609672975128
29,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",30,16,8613,1430,1.3333333333333333,0.017281802141493243
30,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",31,16,8613,1430,1.3333333333333333,0.017281802141493243
31,topSpin,9,1,"1.0, 3.0, 5.0, 8.0, 2.0, 4.0, 0.0, 7.0, 6.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0",32,16,8613,1430,1.3333333333333333,0.017281802141493243
