,domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes,sol / c*,expanded_star
0,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,10,2640,467,1.0,1.0
1,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,10,1017,178,1.0,0.3811563169164882
2,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,17,546,94,1.7,0.2012847965738758
3,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,17,467,80,1.7,0.17130620985010706
4,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,17,469,81,1.7,0.1734475374732334
5,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,17,527,91,1.7,0.1948608137044968
6,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,17,585,102,1.7,0.21841541755888652
7,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,17,596,104,1.7,0.22269807280513917
8,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",9,17,633,111,1.7,0.23768736616702354
9,Pancake,8,1,"5.0, 2.0, 7.0, 4.0, 6.0, 1.0, 0.0, 3.0, ","7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",10,17,638,112,1.7,0.2398286937901499
