domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
maze,brc501d.map,1,"row=38,col=169","row=150,col=184",1,127,2705,2461
maze,brc501d.map,1,"row=38,col=169","row=150,col=184",2,127,347,127
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",1,437,44902,44553
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",2,437,42925,30778
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",3,447,38757,26995
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",4,449,32959,23705
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",5,463,14004,10281
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",6,469,11612,8593
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",7,477,10838,7924
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",8,477,9174,7004
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",9,477,7957,6147
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",10,477,7598,5870
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",11,515,8154,6295
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",12,483,7268,5691
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",13,515,7547,5941
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",14,515,6550,5283
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",15,525,6329,5149
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",16,519,5983,4880
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",17,519,5898,4808
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",18,519,5786,4718
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",19,513,5569,4543
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",20,513,5518,4497
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",21,517,5527,4524
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",22,517,5458,4472
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",23,517,5421,4459
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",24,517,5299,4361
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",25,521,5264,4343
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",26,521,5206,4299
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",27,519,5185,4277
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",28,519,5149,4249
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",29,519,5097,4208
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",30,519,5076,4190
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",31,519,5052,4172
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",32,521,5040,4158
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",33,521,5020,4131
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",34,531,5030,4142
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",35,527,4983,4111
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",36,527,4960,4093
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",37,525,4918,4065
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",38,525,4911,4061
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",39,525,4896,4047
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",40,525,4883,4035
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",41,525,4873,4027
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",42,525,4864,4016
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",43,523,4844,3998
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",44,523,4827,3986
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",45,523,4807,3977
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",46,523,4788,3967
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",47,523,4782,3964
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",48,523,4771,3956
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",49,521,4762,3948
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",50,521,4745,3932
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",51,521,4734,3923
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",52,521,4725,3917
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",53,521,4712,3911
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",54,521,4709,3913
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",55,521,4704,3905
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",56,539,4730,3929
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",57,539,4725,3924
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",58,539,4722,3921
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",59,539,4714,3918
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",60,539,4707,3913
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",61,539,4696,3904
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",62,539,4675,3890
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",63,539,4672,3887
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",64,539,4668,3884
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",65,539,4659,3878
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",66,539,4643,3867
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",67,539,4639,3864
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",68,539,4635,3860
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",69,539,4628,3853
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",70,539,4619,3847
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",71,539,4615,3844
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",72,539,4605,3838
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",73,539,4601,3836
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",74,539,4586,3826
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",75,539,4579,3819
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",76,539,4577,3816
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",77,539,4566,3809
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",78,539,4558,3801
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",79,539,4555,3797
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",80,539,4554,3796
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",81,539,4553,3795
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",82,539,4549,3791
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",83,539,4547,3789
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",84,539,4544,3786
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",85,539,4538,3780
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",86,539,4535,3777
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",87,539,4531,3773
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",88,539,4529,3771
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",89,539,4523,3767
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",90,539,4519,3764
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",91,539,4514,3761
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",92,539,4512,3759
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",93,539,4509,3757
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",94,539,4507,3756
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",95,539,4506,3755
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",96,539,4503,3753
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",97,539,4500,3750
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",98,539,4499,3749
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",99,539,4491,3743
maze,brc501d.map,2,"row=232,col=197","row=151,col=69",100,539,4488,3739
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",1,228,15364,14934
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",2,228,9970,7553
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",3,230,10945,8015
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",4,236,11884,8802
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",5,238,12617,9486
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",6,242,12894,10079
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",7,240,13151,10270
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",8,236,13170,10405
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",9,234,13436,10545
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",10,238,13853,10959
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",11,238,13960,11119
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",12,234,13836,11111
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",13,252,14230,11562
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",14,252,14235,11618
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",15,252,14189,11678
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",16,250,14048,11725
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",17,248,14022,11752
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",18,250,14063,11823
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",19,250,14066,11889
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",20,250,14020,11936
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",21,250,14043,11896
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",22,250,13960,11911
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",23,272,14208,12179
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",24,272,14217,12195
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",25,270,14134,12201
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",26,258,13939,12081
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",27,258,13912,12085
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",28,258,13860,12082
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",29,258,13759,12142
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",30,258,13760,12160
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",31,258,13752,12174
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",32,258,13816,12174
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",33,256,13719,12202
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",34,256,13613,12119
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",35,254,13805,12171
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",36,254,13720,12199
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",37,252,13680,12195
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",38,252,13785,12218
maze,brc501d.map,3,"row=5,col=153","row=152,col=136",39,252,13749,12226
