domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
maze,den011d.map,1,"row=105,col=173","row=86,col=57",1,135,1433,1297
maze,den011d.map,1,"row=105,col=173","row=86,col=57",2,135,530,229
maze,den011d.map,1,"row=105,col=173","row=86,col=57",3,135,416,160
maze,den011d.map,1,"row=105,col=173","row=86,col=57",4,135,422,163
maze,den011d.map,1,"row=105,col=173","row=86,col=57",5,139,404,153
maze,den011d.map,1,"row=105,col=173","row=86,col=57",6,139,400,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",7,139,400,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",8,139,399,149
maze,den011d.map,1,"row=105,col=173","row=86,col=57",9,139,399,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",10,139,399,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",11,139,399,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",12,139,399,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",13,139,399,150
maze,den011d.map,1,"row=105,col=173","row=86,col=57",14,139,399,149
maze,den011d.map,1,"row=105,col=173","row=86,col=57",15,139,399,149
maze,den011d.map,1,"row=105,col=173","row=86,col=57",16,139,399,149
maze,den011d.map,1,"row=105,col=173","row=86,col=57",17,139,398,148
maze,den011d.map,1,"row=105,col=173","row=86,col=57",18,139,398,148
maze,den011d.map,1,"row=105,col=173","row=86,col=57",19,139,398,148
maze,den011d.map,1,"row=105,col=173","row=86,col=57",20,139,397,147
maze,den011d.map,1,"row=105,col=173","row=86,col=57",21,139,397,147
maze,den011d.map,1,"row=105,col=173","row=86,col=57",22,141,393,144
maze,den011d.map,2,"row=104,col=170","row=105,col=7",1,194,2774,2604
maze,den011d.map,2,"row=104,col=170","row=105,col=7",2,194,798,457
maze,den011d.map,2,"row=104,col=170","row=105,col=7",3,194,732,324
maze,den011d.map,2,"row=104,col=170","row=105,col=7",4,196,689,297
maze,den011d.map,2,"row=104,col=170","row=105,col=7",5,200,680,293
maze,den011d.map,2,"row=104,col=170","row=105,col=7",6,200,656,282
maze,den011d.map,2,"row=104,col=170","row=105,col=7",7,200,640,270
maze,den011d.map,2,"row=104,col=170","row=105,col=7",8,200,628,266
maze,den011d.map,2,"row=104,col=170","row=105,col=7",9,200,628,263
maze,den011d.map,2,"row=104,col=170","row=105,col=7",10,200,626,265
maze,den011d.map,2,"row=104,col=170","row=105,col=7",11,200,625,263
maze,den011d.map,2,"row=104,col=170","row=105,col=7",12,200,625,263
maze,den011d.map,2,"row=104,col=170","row=105,col=7",13,200,624,262
maze,den011d.map,2,"row=104,col=170","row=105,col=7",14,202,621,261
maze,den011d.map,2,"row=104,col=170","row=105,col=7",15,202,619,259
maze,den011d.map,2,"row=104,col=170","row=105,col=7",16,202,619,259
maze,den011d.map,2,"row=104,col=170","row=105,col=7",17,202,619,259
maze,den011d.map,2,"row=104,col=170","row=105,col=7",18,202,619,259
maze,den011d.map,2,"row=104,col=170","row=105,col=7",19,202,618,258
maze,den011d.map,2,"row=104,col=170","row=105,col=7",20,202,618,258
maze,den011d.map,2,"row=104,col=170","row=105,col=7",21,202,618,258
maze,den011d.map,2,"row=104,col=170","row=105,col=7",22,202,618,258
maze,den011d.map,2,"row=104,col=170","row=105,col=7",23,204,615,255
maze,den011d.map,2,"row=104,col=170","row=105,col=7",24,204,615,255
maze,den011d.map,2,"row=104,col=170","row=105,col=7",25,204,615,255
maze,den011d.map,2,"row=104,col=170","row=105,col=7",26,204,615,255
maze,den011d.map,2,"row=104,col=170","row=105,col=7",27,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",28,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",29,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",30,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",31,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",32,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",33,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",34,204,614,254
maze,den011d.map,2,"row=104,col=170","row=105,col=7",35,204,614,254
