domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.0,13,56912,5437
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.05,13,56912,5437
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.1,13,56912,5437
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.1500000000000001,13,13250,1224
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.2000000000000002,13,4946,454
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.2500000000000002,13,1204,110
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.3000000000000003,14,10126,942
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.3500000000000003,14,1725,158
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.4000000000000004,14,1454,133
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.4500000000000004,14,1995,183
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.5000000000000004,14,3675,339
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.5500000000000005,14,3675,339
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.6000000000000005,15,1865,172
Pancake,13,1,"1.0, 6.0, 10.0, 9.0, 5.0, 8.0, 4.0, 2.0, 3.0, 7.0, 0.0, 12.0, 11.0, ","12.0, 11.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1.6500000000000006,15,1865,172
