domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,7,415,87
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,7,413,86
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,8,305,65
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,8,438,94
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,8,419,92
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,19,504,112
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",7,19,528,117
Pancake,7,1,"3.0, 4.0, 6.0, 0.0, 1.0, 2.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",8,22,484,106
Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,10,1222,274
Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,12,460,94
Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,10,90,18
Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,10,61,12
Pancake,7,2,"5.0, 1.0, 3.0, 0.0, 6.0, 2.0, 4.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,10,56,11
Pancake,7,3,"2.0, 4.0, 0.0, 1.0, 6.0, 3.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,9,1315,299
Pancake,7,3,"2.0, 4.0, 0.0, 1.0, 6.0, 3.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,11,157,32
Pancake,7,3,"2.0, 4.0, 0.0, 1.0, 6.0, 3.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,11,51,10
Pancake,7,4,"2.0, 4.0, 6.0, 0.0, 3.0, 1.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,8,404,83
Pancake,7,4,"2.0, 4.0, 6.0, 0.0, 3.0, 1.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,12,2664,640
Pancake,7,4,"2.0, 4.0, 6.0, 0.0, 3.0, 1.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",3,15,681,147
Pancake,7,4,"2.0, 4.0, 6.0, 0.0, 3.0, 1.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",4,15,273,57
Pancake,7,4,"2.0, 4.0, 6.0, 0.0, 3.0, 1.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",5,15,180,37
Pancake,7,4,"2.0, 4.0, 6.0, 0.0, 3.0, 1.0, 5.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",6,15,175,36
Pancake,7,5,"5.0, 6.0, 3.0, 4.0, 2.0, 0.0, 1.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",1,7,170,35
Pancake,7,5,"5.0, 6.0, 3.0, 4.0, 2.0, 0.0, 1.0, ","6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, ",2,10,195,40
