domain,map_name,random_point_iteration,start_position,end_position,wight,solution_size,num_of_gen_nodes,num_of_expanded_nodes
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",1,5,408,174
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",2,5,318,89
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",3,5,193,43
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",4,5,193,43
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",5,5,165,36
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",6,5,175,36
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",7,5,175,36
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",8,5,175,36
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",9,5,183,37
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",10,5,183,37
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",11,5,183,37
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",12,5,257,52
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",13,5,257,52
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",14,5,257,52
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",15,5,267,54
topSpin,8,1,"2.0, 5.0, 0.0, 7.0, 6.0, 3.0, 4.0, 1.0","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0",16,5,267,54
